epoch,train_loss,val_loss,val_pseudo_iou,val_pseudo_dice
1.0,2.296397323409716,1.6419179439544678,0.06329113924050633,0.11904761904761904
2.0,1.9659112766385078,1.262845754623413,0.06329113924050633,0.11904761904761904
3.0,1.4090753917892773,1.1106019020080566,0.08038585209003216,0.1488095238095238
4.0,1.2806066026290257,1.1555789709091187,0.09446254071661238,0.17261904761904762
5.0,1.2980084617932637,1.2751456499099731,0.09090909090909091,0.16666666666666666
6.0,1.2149319102366765,1.0596364736557007,0.10491803278688525,0.18991097922848665
7.0,1.1924957856535912,1.0760349035263062,0.11960132890365449,0.21364985163204747
8.0,1.183089238901933,1.2136708498001099,0.12,0.21428571428571427
9.0,1.241389627257983,1.0506591796875,0.10526315789473684,0.19047619047619047
10.0,1.2146258341769378,1.4016945362091064,0.12,0.21428571428571427
11.0,1.2166443193952243,1.0341359376907349,0.10526315789473684,0.19047619047619047
12.0,1.1062535618742306,1.0395095348358154,0.10130718954248366,0.18397626112759644
